name,color,category,breadcrumbs,description
3-Stripes Training Tee (Plus Size),Pink,Clothing,Women/Clothing,"Nearly light as air. This adidas training t-shirt is a simple tee for anyone who likes a barely-there feel. The fabric is not only ultralight, but semi-sheer. AEROREADY wicks moisture so you stay focused on the workout."
Elevate Yoga Flow 7/8 Tights,Purple,Clothing,Women/Clothing,"Follow your breath to a place where your mind and body work in unison. Brushed fabric gives these adidas training tights a soft touch for comfort as you flow through your yoga practice. A hugged-in fit feels supportive in arm balances and inversions.

This product is made with Primegreen, a series of high-performance recycled materials."
AEROREADY Breathable Sport Tank Top,Pink,Clothing,Women/Clothing,"Be the motivator. Slide on this adidas training tank top for cardio classes or strength days. It's made of stretchy fabric with AEROREADY technology that absorbs moisture to keep you feeling fresh. The wide straps cross in the back, so the top stays put while you row and plank."
Adicolor Classics Collegiate Tight Tee,Pink,Clothing,Women/Clothing,"Make no mistake. Just because this adidas t-shirt checks all the boxes for basic doesn't mean it's not versatile too. With this minimalist sporty tee, the options are endless. It hugs the body with a tight fit, which is perfect for pairing it with something voluminous. Even if that just means oversize sweat pants at home.

By buying cotton products from us, you're supporting more sustainable cotton farming."
AEROREADY Breathable 3-Stripes Long Sleeve Tee,Purple,Clothing,Women/Clothing,"Go from crushing your workout to chilling with friends. This adidas 3-Stripes t-shirt helps you do it all. An airy, breathable feel and moisture-absorbing AEROREADY keep you dry and comfortable when you turn up the heat on your training session. Ruching in the front adds a dose of style. 

This product is made with Primegreen, a series of high-performance recycled materials."
adidas x Zoe Saldana AEROREADY Rib Tank Top,Pink,Clothing,Women/Clothing,"As a lover of sports, there's always room for activity in your day. Be ready for anything while keeping your comfort level high and your look on point in this tank top. Move naturally in a distraction-free fit, and stay feeling fresh and dry even when the day heats up thanks to moisture-absorbing AEROREADY. The iridescent adidas Badge of Sport adds an element of eye-catching style."
Soft Floral Box Graphic Tank Top,Pink,Clothing,Women/Clothing,"Go ahead. Indulge in the sweet side of life. Blooming flowers, pretty colors and the delightfully soft cotton of this adidas tank top. Whatever you've got on the agenda, casual comfort ensures feel-good vibes through it all.

By buying cotton products from us, you're supporting more sustainable cotton farming."
adidas Sportswear Future Icons Logo Graphic Tee,Pink,Clothing,Women/Clothing,"There are times to go hard, and then there are moments to give into the stillness. Both are a showcase of strength. Whatever the speed, this adidas t-shirt is down for it. Soft material hangs on the body with a loose, casual shape for total comfort. 

This product is made with Primegreen, a series of high-performance recycled materials."
Marble Wash Mini Hat,Multicolor,Accessories,Women/Accessories,"Bring a little taste of whimsy to your everyday look. Sweet as sherbet, this petite hat has a summery vibe and a comfy cotton feel. The flowy marble wash is unique to your cap alone. 

By buying cotton products from us, you're supporting more sustainable cotton farming."
adidas Sportswear Future Icons Hoodie,Purple,Clothing,Women/Clothing,"You put in the time. You put in the effort. And when you put on this adidas sweatshirt after your workout, you feel the reward. Soft cotton material drapes the body in a relaxed shape, so you practically sink into comfort. Ribbed cuffs go ahead and bring an extra level of snug to the casual sweatshirt. Whatever's next on the agenda, you'll show up feeling good."
Multix Shoes,Pink,Shoes,Kids/Shoes,"Calling all explorers. Give your go-anywhere, try-anything kid a pair of shoes to match. Clean adidas design keeps your little MVP styling on the playground or in the backyard. Hits of holographic accents level up the space-inspired look. Three, two, one, BLAST OFF. (Who are we kidding? They were already gone at two.)"
Stan Smith Shoes,White,Shoes,Kids/Shoes,"Stan Smith. Kermit. Your little adventurer. Is this a dream team? We think so. Dress them in the retro style of these infants' shoes. With Disney's favorite green frog cheering them on, they'll be ready for every challenge. Playtime, dancing or giggling? Big adventures like that call for comfy trainers. This pair is made with recycled materials as part of adidas' commitment to live a little greener, just like Kermit. It's not easy, but it's worth it. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
ZX 2K Boost Shoes,Green,Shoes,Kids/Shoes,"We're always evolving. That's part of the beauty of life. Like these juniors' adidas shoes, we take the best of the past to create the best for our future. A trailblazer in the '80s, the ZX series pushed the boundaries of innovation. Not a bad legacy to be a part of. Energy-returning Boost cushioning offers nonstop comfort, which is great when you're also nonstop."
ZX 360 Shoes,Pink,Shoes,Kids/Shoes,"Ready for action. Your kid and these adidas shoes, that is. The stretchy mesh upper slips quickly onto their feet, so getting out the door is a breeze. Whether they're pretending to be their favorite superhero or searching for treasure, the cushioned EVA outsole with deep flex grooves keeps them comfortable."
Adicolor Classics Tricot Skirt,Pink,Clothing,Women/Clothing,"Everything you love most about classic adidas style is part of this skirt. The 3-Stripes? Yes. Smooth tricot? Yep, just like your favorite track suit. Comfort you can move in? Always. Put it all together and the result feels totally fresh. Adjust the drawcord at the waist to find the perfect fit. 

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic."
Choigo Shoes,White,Shoes,Women/Shoes,"If you want drama, the female track and field crew of the '80s knew all about it. Their bright outfits were second only to their unmatched speed. These adidas Choigo Shoes pay tribute to the game changers with pops of color, a lace toggle and a lifted outsole. And of course, performance spikes."
Supernova+ Shoes,White,Shoes,Women/Shoes,"When you've achieved your goals and it's time to set new ones, these adidas running shoes help you reach the next summit. Flexible Bounce cushioning combines with Boost in the heel and forefoot to keep your transitions smooth and return energy to your stride. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Stan Smith Primeblue Shoes,White,Shoes,Kids/Shoes,"The future belongs to the young. Let's act like it. A collaboration with Hawaiian artist and surfer Aaron Kai, these toddlers' adidas Stan Smith shoes get revamped with recycled materials and Kai's signature pop art style. His doodles cover the shoes, celebrating the earth and all that it gives us. As little ones explore this great big world around them, the rubber outsole helps keep them steady and comfortable.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester."
ZX 2K Boost Pure Shoes,White,Shoes,Women/Shoes,"The ZX series hit the ground running back in the '80s, heading straight for the future. The game is the same this time around with these adidas ZX 2K Boost Pure Shoes. They may not be about speed anymore, but they're still about getting things done. Comfortably. The rubber soles offer plenty of traction, so you can get after the day without hesitation.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Court Tourino Shoes,Black,Shoes,Women/Shoes,"Classic vibe, modern approach. The adidas Court Tourino Shoes step things up with recycled materials. And in line with keeping things clean, the minimalist look means full versatility. They'll go with anything and everything.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
Geodiver Primeblue Shoes,Pink,Shoes,Women/Shoes,"One step at a time. That's how we create meaningful change. Lace into these adidas shoes and start walking. They're made with recycled materials so each step is one step closer to helping end plastic waste. Based on the running archives, they're stylish too. You can strut, stroll or moonwalk if you prefer. 

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester."
Ozelia Shoes,White,Shoes,Women/Shoes,"If it all has to start somewhere, we'd say the '90s are a pretty solid launching point. Take these Ozelia Shoes. The DNA is straight out of adidas' past, but the futuristic look is all grown up with a sleek, monochromatic build. Adiprene cushioning makes every step feel like a good one."
ZX 8000 Shoes,White,Shoes,Women/Shoes,"No more internet rabbit holes. At least, not the ones you go down in search of the coveted ZX 8000. We brought it back in all its glory, though the iconic colorway gets a fresh new twist. All the other signature markers are there — Torsion bar, TPU heel counter. Everything that makes the adidas ZX 8000 Shoes the legend that they are. The cushioned midsole delivers extra comfort."
Court Tourino Shoes,White,Shoes,Women/Shoes,"Classic vibe, modern approach. The adidas Court Tourino Shoes step things up with recycled materials. And in line with keeping things clean, the minimalist look means full versatility. They'll go with anything and everything.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
ZX 2K Shoes,Green,Shoes,Kids/Shoes,"Every minute of every day is an opportunity for little ones to adventure. (Unless it's that rare moment of quiet called nap time, of course.) Lace toddlers into these adidas shoes and let them watch, crawl and wobble to explore their big new world. Lightweight cushioning keeps them comfortable on the move."
Stan Smith Primeblue Shoes,White,Shoes,Kids/Shoes,"Meet Stan Smith. You may have missed his legendary tennis career in the '70s, but you can take it from us, he's kind of a big deal. His shoes have been making waves for decades, and their journey is far from over. Lace into the legacy and walk it into the future in these juniors' adidas shoes. Redesigned to reduce material waste and made using recycled materials, these iconic shoes help make positive change, one pair at a time. 

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester."
Continental 80 Stripes Shoes,White,Shoes,Women/Shoes,"Craving something classic? Step out in these retro adidas Continental 80 shoes and you've found it. Then step out again. And again. With 3-Stripes and soft white leather, it's pretty tempting to wear them all the time. When every moment is a chance to show off your sporty style, don't miss the opportunity."
ZX 2K Boost Shoes,White,Shoes,Kids/Shoes,"We're always evolving. That's part of the beauty of life. Like these juniors' adidas shoes, we take the best of the past to create the best for our future. A trailblazer in the '80s, the ZX series pushed the boundaries of innovation. Not a bad legacy to be a part of. Energy-returning Boost cushioning offers nonstop comfort, which is great when you're also nonstop."
Choigo Shoes,White,Shoes,Women/Shoes,"Take your style to bold new heights. Throw in some retro attitude while you're at it. Inspired by the style of '80s track athletes, these adidas Choigo Shoes stand out with a textile and mesh upper, performance spikes and a high-rise outsole. Stand tall and enjoy the walking-on-clouds comfort."
Continental 80 Vegan Shoes,White,Shoes,Women/Shoes,"The era of aerobics in colorful leotards may be behind us, or maybe it's coming back. So cue up your favorite playlist and find your groove in these '80s-inspired adidas shoes. Rubber grips to city pavement as you stroll from point A to B. A crisp white upper looks as retro as ever.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester. It is also made with vegan alternatives to animal-derived ingredients or materials. This pair of shoes features an algae-based EVA foam that helps clean at least 30 liters of polluted lake water."
Special 21 Shoes,Black,Shoes,Women/Shoes,"Looking to accelerate your style? Lace up in these adidas Special 21 Shoes and celebrate the power and flair of boundary-breaking female athletes of the '80s. Inspired by the archival track and field silhouettes they wore, these sleek runners have a retro look with a modern twist. A slimmed-down version of the recognizable triangular outsole clip honors the past while still looking chic on the streets."
Swift Run X Shoes,Grey,Shoes,Kids/Shoes,"Just try and slow kids down. It's impossible. Their speed. Their growth. Their hunger as a result of both. (All the snacks, please.) Luckily, these adidas shoes were made to keep up with them. They come from the world of running, so they know all about fast moves. Plus they're packed with comfort."
ZX 2K Boost Pure Shoes,White,Shoes,Women/Shoes,"The ZX series hit the ground running back in the '80s, heading straight for the future. The game is the same this time around with these adidas ZX 2K Boost Pure Shoes. They may not be about speed anymore, but they're still about getting things done. Comfortably. The rubber soles offer plenty of traction, so you can get after the day without hesitation.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Amplifier Tee,Green,Clothing,Women/Clothing,"Like pizza or compliments, it's hard to have too many basic tees. This adidas t-shirt has a clean style that makes for easy layering. It's designed with a ribbed crewneck and long sleeves."
X9000L3 Shoes,White,Shoes,Men/Shoes,"For quick evening miles and short loops outside the city, the X9000L3 keeps you feeling good. These adidas running shoes ride on a Jetboost midsole that provides the incredible energy return of adidas Boost. The design puts a stylish face on performance-ready tech, so you wouldn't feel out of place stopping for a coffee after your morning run group."
Terrex Primeknit Rain.RDY Jacket,Black,Clothing,Men/Clothing,"Waterproof and breathable has never felt this good. The Terrex Primeknit Rain Jacket has a soft, easy-moving feel with a hybrid design that breathes and vents heat where you need it most. adidas Primeknit offers four-way stretch for a natural range of motion. RAIN.RDY keeps you dry through snow and rain. Its lightweight build packs down small for easy stowing when the sun decides to shine."
Hurricanes Premier Alternate Jersey,Green,Clothing,Men/Clothing,"Hurricanes pride looks good in every color. You can channel game day energy no matter where you are in this adidas Hurricanes football jersey. Green and orange matches Miami's alternate uniform.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic."
Terrex Hyperhiker Hiking Shoes,Black,Shoes,Kids/Shoes,"Built for adventurous kids, these mid-cut hiking shoes offer the support and ankle coverage kids need to explore on and off trail. The lightweight upper is reinforced with a mud-shedding guard around the base to help seal out dirt. A Traxion outsole provides great grip in all directions and on all surfaces."
Allover Print Camo Graphic Tee,Blue,Clothing,Kids/Clothing,"Want to make a statement? Try camouflage. It's a paradox, but somehow a print that was designed to blend in actually makes you stand out. Soft cotton fabric means this juniors' adidas Trefoil t-shirt is an easy addition to your regular rotation. 

By buying cotton products from us, you're supporting more sustainable cotton farming."
Primeblue Always Om Yoga Shorts,Blue,Clothing,Men/Clothing,Yoga goals. You've got them. These adidas shorts help you reach them. The soft feel and loose fit let you flow through your routine comfortably. Generous side notches mean you can flex into poses with freedom.
Terrex Trailmaker Primegreen Hiking Shoes,Beige,Shoes,Men/Shoes,Lighten up your step with these adidas Terrex hiking shoes. These adidas hiking shoes blur the line between comfortable running shoes and durable hiking shoes. A foot-hugging mesh upper adds durable overlays to shed mud and resist rocks. Lightweight EVA cushioning cradles the foot so you can walk all day. Their lugged tread holds firm on gravel roads and dirt paths.
adidas Sportswear Future Icons 3-Stripes Skinny Pants,Black,Clothing,Women/Clothing,"Sport isn't a time or place. It's a mindset. A visual representation of your drive, the 3-Stripes wrap around the legs of these slim-fitting adidas pants. They're the perfect thing to throw on after a workout to help you unwind and settle into reset mode. Pure comfort all the way.

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is also made with Primegreen, a series of high-performance recycled materials."
Lite Racer Adapt 4.0 Shoes,Blue,Shoes,Kids/Shoes,"Active kids need sneakers that can keep up. These kids' adidas shoes are inspired by classic running style, and they slip on and off easily as they run outside, inside and back outside again. A Cloudfoam midsole and a mesh upper elevate the comfort and breathability, so they can get after it all day long."
Marimekko Techfit Primegreen AEROREADY Training Pocket Tights,Pink,Clothing,Kids/Clothing,"Celebrate female empowerment your own way. Designed with Finnish label Marimekko, these juniors' adidas tights show off your fierce, feminine spirit. Bright colors in Marimekko's famous Räsymatto design give you signature style. Work hard in comfort thanks to moisture-absorbing AEROREADY.

This product is made with Primegreen, a series of high-performance recycled materials."
Stan Smith 360 Shoes,White,Shoes,Kids/Shoes,"Kids have got the whole world in front of them. Let's make sure it's the best one possible as they explore it. A timeless classic, these adidas shoes have the same look as the OG for grown-ups, and they're packed with comfort for all their adventures.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
ZX 1K Boost Shoes,Green,Shoes,Kids/Shoes,"The '80s kicked off many things we're still rocking today. Pop music — though some of it was forgotten for a reason. Expression through Color — forever a way to make a statement. The adidas ZX series is still as forward-thinking as it was back then. These shoes do up their iconic style in knitted mesh with synthetic suede overlays. Not skimping on comfort, they have a winning combo of cushioning with a half-EVA, half-Boost midsole.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Edge Lux 4 Shoes,White,Shoes,Women/Shoes,"When running is your sport, you look forward to that moment all day. Be ready for it when you lace up in these adidas shoes. A snug fit gives you a comfortable and supportive feel. Lightweight Bounce cushioning keeps a spring in your step from beginning to end.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
Postmove Shoes,Pink,Shoes,Women/Shoes,"Take inspiration from the original adidas Forum. Lace up these basketball-inspired shoes for a throwback look you can rock all over town. Enjoy pillowy-soft midsole cushioning as soon as you slip your feet in.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Continental 80 Vegan Shoes,White,Shoes,Women/Shoes,"The era of aerobics in colorful leotards may be behind us, or maybe it's coming back. So cue up your favorite playlist and find your groove in these '80s-inspired adidas shoes. Rubber grips to city pavement as you stroll from point A to B. A crisp white upper looks as retro as ever.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester. It is also made with vegan alternatives to animal-derived ingredients or materials. This pair of shoes features an algae-based EVA foam that helps clean at least 30 liters of polluted lake water."
Postmove Shoes,White,Shoes,Women/Shoes,"Take inspiration from the original adidas Forum. Lace up these basketball-inspired shoes for a throwback look you can rock all over town. Enjoy pillowy-soft midsole cushioning as soon as you slip your feet in.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
NMD_R1 Refined Shoes,White,Shoes,Kids/Shoes,"Worth a double take. Don't be fooled, these juniors' adidas NMD_R1 Refined Shoes may look like the original runners from '95, but this version shows off refined proportions for a sleek, streamlined update. Pair them with comfy joggers or a chic pair of slacks. No matter what, the supportive mesh upper and energy-returning Boost cushioning bring ease to your look and comfort to your step.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Postmove Shoes,Black,Shoes,Women/Shoes,"Take inspiration from the original adidas Forum. Lace up these basketball-inspired shoes for a throwback look you can rock all over town. Enjoy pillowy-soft midsole cushioning as soon as you slip your feet in.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
adidas Superstar x LEGO® Shoes,White,Shoes,Kids/Shoes,"Style, fun and comfort is not a bad combination to have. Superstar LEGO® shoes feature iconic 3-Stripe branding and playful design details with LEGO brick-inspired texture on the shell-toe and heel-tab. Comfortable sockliners have been designed to allow for wearing around the clock – ideal for patio-to-playground scenarios."
Postmove Shoes,White,Shoes,Women/Shoes,"Take inspiration from the original adidas Forum. Lace up these basketball-inspired shoes for a throwback look you can rock all over town. Enjoy pillowy-soft midsole cushioning as soon as you slip your feet in.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Terrex Two Ultra Parley AP Shoes,White,Shoes,Women/Shoes,"Light enough to keep you fast. Rugged enough to handle the trail. Lace up these adidas running shoes for long trail runs. The sock-like knit upper is reinforced with abrasion resistance where you need it most. The lugged outsole delivers confident grip across dirt descents and scree. The incredible energy return of adidas Boost gives you the power to keep your feet moving.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester."
Postmove Shoes,White,Shoes,Women/Shoes,"Take inspiration from the original adidas Forum. Lace up these basketball-inspired shoes for a throwback look you can rock all over town. Enjoy pillowy-soft midsole cushioning as soon as you slip your feet in.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Retropy P9 Shoes,Blue,Shoes,Men/Shoes,"Every decade is remembered for something. The '80s? Bright, flashy style. The '00s? Innovations in technology. Get the best of both eras in these adidas shoes. Their look shows off their retro glory, but the feel is all modern running tech. Mixed together, you get something totally new."
Superstar OT Tech Shoes,Black,Shoes,Originals/Shoes,"Originally designed for sport. Comfortable anywhere. Merging elements of the past with modern detailing, these adidas Superstar OT Tech Shoes rethink basketball style for today. Updated proportions and a leather upper create a fresh, eye-catching silhouette. Taking design cues from contemporary basketball sneakers, they add a technical mesh tongue and serrated details for a modern edge."
Racer TR21 Wide Shoes,White,Shoes,Men/Shoes,"Get comfort with every step in these running-inspired shoes. You'll dig the feel of super-soft Cloudfoam cushioning as you move through the day. A wide fit gives your feet the extra space they need. Lace these up and add a touch of retro adidas style to your everyday look.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Racer TR21 Wide Shoes,Black,Shoes,Men/Shoes,"Get comfort with every step in these running-inspired shoes. You'll dig the feel of super-soft Cloudfoam cushioning as you move through the day. A wide fit gives your feet the extra space they need. Lace these up and add a touch of retro adidas style to your everyday look.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
adidas Sportswear Future Icons 3-Stripes Hooded Track Jacket,Black,Clothing,Women/Clothing,"Go hard. Recharge. Repeat. In sport and in life, it's that balance between pushing, striving and letting it all go that helps you feel and perform your best. When you're focusing on the relaxation part of the equation, this adidas track jacket is key. Zip in, flip up the hood and give in to comfort. 

This product is made with Primegreen, a series of high-performance recycled materials."
adidas Sportswear Future Icons 3-Stripes Hooded Track Jacket,Grey,Clothing,Women/Clothing,"Go hard. Recharge. Repeat. In sport and in life, it's that balance between pushing, striving and letting it all go that helps you feel and perform your best. When you're focusing on the relaxation part of the equation, this adidas track jacket is key. Zip in, flip up the hood and give in to comfort. 

This product is made with Primegreen, a series of high-performance recycled materials."
Camo Everyday Shorts,Grey,Clothing,Men/Clothing,"Pull on these adidas camo-print shorts, and do battle with a hardcore workout at home. AEROREADY keeps you dry while you power through sit-ups. When you're done, you don't need to change. Just loosen up the drawcord waist, pack your keys and phone in the side seam pockets and head out for the day."
Performance Boxer Briefs 3 Pairs,Red,Clothing,Men/Clothing,"Train without distractions. Focus on setting new PRs when you wear these adidas boxer briefs. Smooth seams, a tag-free waistband and a stay-put feel on the leg mean you can slay in comfort on leg day. Flex, bend and lunge with a soft fabric that dries quickly and has plenty of stretch."
Parley Sweat Pants (Gender Neutral),Black,Clothing,Sportswear/Clothing,"Life is about balance. So when you work hard, chill hard. Settle right into comfort with these adidas x Parley sweatpants. The soft material makes it easy, rewarding muscles with what some might call pure bliss. Technically it's called French terry.

This product is made with organic cotton and is part of our ambition to end plastic waste."
EQ21 Run Shoes,Blue,Shoes,Men/Shoes,"When running is your sport, there's nothing you love more than that daily run. Log miles in ultimate comfort when you lace up in these adidas shoes. A breathable upper keeps feet feeling cool and fresh on warm days. Lightweight cushioning makes each step more enjoyable. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
EQ21 Run Shoes,Orange,Shoes,Men/Shoes,"When running is your sport, there's nothing you love more than that daily run. Log miles in ultimate comfort when you lace up in these adidas shoes. A breathable upper keeps feet feeling cool and fresh on warm days. Lightweight cushioning makes each step more enjoyable. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Marathon 3-Stripes Jacket,Red,Clothing,Men/Clothing,"What you wear matters. This adidas running jacket is made from recycled materials, as part of our commitment to end plastic waste. Show off the bold athletic look with pride. You're making a difference."
Solid Swim Shorts,Gold,Clothing,Men/Clothing,"Stay comfortable while snorkelling in a coral reef or walking on the beach in these adidas swim shorts. The woven material is lightweight and quick-drying as you move between the ocean and your warm towel. Mesh inner briefs provide coverage and support. 

This product is made with Primegreen, a series of high-performance recycled materials."
adidas Z.N.E. Sportswear Pants,Black,Clothing,Men/Clothing,"Wherever you are physically, make sure your mind is there as well. Stay present and focused in these adidas pants. Their comfort makes it easy to settle in, so you can turn your focus inwards and put distractions on hold. Whatever that looks like, these support it with their soft, slightly stretchy build. Moisture-absorbing AEROREADY helps too. Warming up or just nerves, it keeps you feeling cool and dry."
X9000L3 Shoes,Grey,Shoes,Men/Shoes,"For quick evening miles and short loops outside the city, the X9000L3 keeps you feeling good. These adidas running shoes ride on a Jetboost midsole that provides the incredible energy return of adidas Boost. The design puts a stylish face on performance-ready tech, so you wouldn't feel out of place stopping for a coffee after your morning run group."
Small Crossbody Bag,Orange,Accessories,Women/Accessories,"Only need the essentials? No problem. Throw them in this small crossbody bag, and you're ready to go. Head to and from your training session in true adidas style. Bright color guarantees you won't blend into the background. 

This product is made with Primegreen, a series of high-performance recycled materials."
X Ghosted.3 Firm Ground Cleats,Yellow,Shoes,Soccer/Shoes,"The only thing that makes defenders sweat more than seeing you on the pitch? Not seeing you at all. Pull on X Ghosted and discover next-level speed. The stretchy tongue on these adidas soccer cleats means you'll get into them in record time. Lightweight and semi-translucent, the foot-hugging Speedskin upper doesn't just look fast, it feels fast. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support."
AEROREADY  Designed to Move Sport Camo-Print Shorts,Grey,Clothing,Men/Clothing,"Whether you're stepping onto the basketball court, going out for a run or relaxing at home, be ready for anything in these adidas shorts. Move through your day in confidence with a fit that stays in place. Feel dry and fresh even after a sweat session at the gym, thanks to moisture-absorbing AEROREADY.

This product is made with Primegreen, a series of high-performance recycled materials."
Foil Mandala Graphic Tee,White,Clothing,Women/Clothing,"Focus your confidence as you move through the day. This adidas graphic t-shirt bumps up the style of any look with a foil-print mandala graphic. When it goes on, you'll look as good as you feel in the soft cotton jersey fabric.

By buying cotton products from us, you're supporting more sustainable cotton farming."
X Ghosted.3 Firm Ground Cleats,Pink,Shoes,Soccer/Shoes,"The only thing that makes defenders sweat more than seeing you on the pitch? Not seeing you at all. Pull on X Ghosted and discover next-level speed. The stretchy tongue on these adidas soccer cleats means you'll get into them in record time. Lightweight and semi-translucent, the foot-hugging Speedskin upper doesn't just look fast, it feels fast. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support."
Foil Mandala Graphic Tee,Blue,Clothing,Women/Clothing,"Focus your confidence as you move through the day. This adidas graphic t-shirt bumps up the style of any look with a foil-print mandala graphic. When it goes on, you'll look as good as you feel in the soft cotton jersey fabric.

By buying cotton products from us, you're supporting more sustainable cotton farming."
Disney Mickey Mouse Summer Set,Pink,Clothing,Kids/Clothing,"Your star player will score major points in this kids' two-piece adidas outfit. The happy, adventurous spirit of Disney's Mickey Mouse adds a fun touch. The tee feels extra soft and comfy, and the leggings have a little stretch so your kiddo can run, jump and slide all day long.

By buying cotton products from us, you're supporting more sustainable cotton farming."
Marimekko Hoodie,Red,Clothing,Women/Clothing,"Some good things were going on in the '60s. adidas' iconic 3-Stripes and Finnish design house Marimekko's wave print, for instance. Wear them both on this vibrant hoodie and don't be alarmed if you turn some heads. Colorful and bold, this style is all about self-expression. 

By buying cotton products from us, you're supporting more sustainable cotton farming."
4D Fusio Shoes,Yellow,Shoes,Originals/Shoes,"The look of speed. The feeling of comfort. These adidas shoes give you a glimpse of the future with their cutting-edge 4D midsole for controlled energy return. You can head out and then stay out. Always in absolute comfort. They not only support the journey, they encourage it."
4D Fusio Shoes,Black,Shoes,Men/Shoes,"The look of speed. The feeling of comfort. These adidas shoes give you a glimpse of the future with their cutting-edge 4D midsole for controlled energy return. You can head out and then stay out. Always in absolute comfort. They not only support the journey, they encourage it."
Predator Freak.3 Indoor Shoes,Black,Shoes,Men/Shoes,"Walls can't contain you. Rivals can't hold you back. On the court, you're in control. Release your full force of nature in Predator Freak. These adidas indoor soccer shoes keep you stable with a supportive mid-cut design. The coated textile upper has a laceless forefoot and more extensive 3D-printed Demonscale elements to help you own the ball."
4D Fusio Shoes,White,Shoes,Men/Shoes,"The look of speed. The feeling of comfort. These adidas shoes give you a glimpse of the future with their cutting-edge 4D midsole for controlled energy return. You can head out and then stay out. Always in absolute comfort. They not only support the journey, they encourage it."
4D Fusio Shoes,Blue,Shoes,Originals/Shoes,"The look of speed. The feeling of comfort. These adidas shoes give you a glimpse of the future with their cutting-edge 4D midsole for controlled energy return. You can head out and then stay out. Always in absolute comfort. They not only support the journey, they encourage it."
4D Fusio Shoes,Grey,Shoes,Men/Shoes,"The look of speed. The feeling of comfort. These adidas shoes give you a glimpse of the future with their cutting-edge 4D midsole for controlled energy return. You can head out and then stay out. Always in absolute comfort. They not only support the journey, they encourage it."
FARM Rio Feelbrilliant AEROREADY High-Rise Tights,Black,Clothing,Women/Clothing,"Elevate your style in the gym, on the road or just during errands. These adidas tights are a collaboration with FARM Rio and flash a wildflower-inspired graphic on the leg and a bold print on the high-rise waist. They feature AEROREADY to manage moisture as you're working up a sweat."
AEROREADY  Designed to Move Sport Camo-Print Shorts,Red,Clothing,Men/Clothing,"Whether you're stepping onto the basketball court, going out for a run or relaxing at home, be ready for anything in these adidas shorts. Move through your day in confidence with a fit that stays in place. Feel dry and fresh even after a sweat session at the gym, thanks to moisture-absorbing AEROREADY.

This product is made with Primegreen, a series of high-performance recycled materials."
